Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
CL-12565,285,12,10880.546,1,4,4,144,Others
CL-12700,106,5,2353.586,2,1,3,213,Others
CM-11815,132,6,1673.888,2,2,2,222,Others
CM-11935,709,2,565.392,1,1,1,111,Others
CM-12115,9,4,1661.6100000000001,4,1,2,412,Others
CM-12160,27,6,2533.314,4,2,3,423,Others
CM-12190,9,6,1475.144,4,2,2,422,Others
CM-12235,386,5,2305.712,1,1,3,113,Others
CM-12385,38,4,8954.019999999999,3,1,4,314,Others
CM-12445,437,3,287.99,1,1,1,111,Others
CM-12655,28,6,6339.5576,4,2,4,424,Others
CM-12715,1036,4,3984.4524,1,1,4,114,Others
CP-12085,83,8,5402.254,2,3,4,234,Others
CP-12340,161,8,5888.275,2,3,4,234,Others
CR-12580,58,4,2148.852,3,1,2,312,Others
CR-12625,471,3,475.9,1,1,1,111,Others
CR-12730,79,4,1600.55,2,1,2,212,Others
CR-12820,86,3,1397.8724,2,1,2,212,Others
CS-11845,92,5,1278.954,2,1,2,212,Others
CS-11860,163,6,537.632,2,2,1,221,Others
CS-11950,26,11,3036.547,4,4,3,443,Others
CS-12130,490,4,884.64,1,1,1,111,Others
CS-12175,233,5,844.4580000000001,1,1,1,111,Others
CS-12250,27,12,2754.216,4,4,3,443,Others
CS-12355,7,11,3202.1620000000003,4,4,3,443,Others
CS-12400,3,9,3651.8585000000003,4,4,3,443,Others
CS-12460,28,2,550.644,4,1,1,411,Others
CS-12490,425,4,1077.2285,1,1,1,111,Others
CS-12505,59,6,5690.054999999999,3,2,4,324,Others
CT-11995,97,8,3241.898,2,3,3,233,Others
CV-12295,255,5,2830.6279999999997,1,1,3,113,Others
CV-12805,6,9,2370.3136,4,4,3,443,Others
CW-11905,23,6,1136.592,4,2,1,421,Others
CY-12745,61,8,2900.026,3,3,3,333,Others
Co-12640,550,5,1300.076,1,1,2,112,Others
DA-13450,353,4,156.76,1,1,1,111,Others
DB-12910,22,8,2171.599,4,3,2,432,Others
DB-12970,242,5,2839.2272,1,1,3,113,Others
DB-13060,17,7,4531.646,4,3,4,434,Others
DB-13120,49,7,2973.094,3,3,3,333,Others
DB-13210,10,10,2332.577,4,4,3,443,Others
DB-13270,54,8,4655.897,3,3,4,334,Others
DB-13360,265,5,1081.466,1,1,1,111,Others
DB-13405,188,4,1711.692,1,1,2,112,Others
DB-13555,108,7,3908.8028,2,3,4,234,Others
DB-13615,34,7,1989.05,3,3,2,332,Others
DB-13660,13,7,1155.202,4,3,2,432,Others
DC-12850,38,9,3336.168,3,4,3,343,Others
DC-13285,24,5,1174.618,4,1,2,412,Others
DD-13570,42,6,269.542,3,2,1,321,Others
DE-13255,720,5,2550.874,1,1,3,113,Others
DF-13135,701,3,2390.534,1,1,3,113,Others
DG-13300,33,5,3195.818,3,1,3,313,Others
DH-13075,278,6,4932.872,1,2,4,124,Others
DH-13675,777,4,1043.096,1,1,1,111,Others
DJ-13420,638,4,2012.52,1,1,2,112,Others
DJ-13510,49,8,2501.6879999999996,3,3,3,333,Others
DJ-13630,13,3,3356.398,4,1,3,413,Others
DK-12835,22,12,3256.48,4,4,3,443,Others
DK-12895,46,5,4282.176,3,1,4,314,Others
DK-12985,8,5,1687.04,4,1,2,412,Others
DK-13090,43,7,2650.557,3,3,3,333,Others
DK-13150,11,2,797.832,4,1,1,411,Others
DK-13225,11,9,4802.394,4,4,4,444,Champions
DK-13375,20,8,3318.486,4,3,3,433,Others
DL-12865,101,8,1503.112,2,3,2,232,Others
DL-12925,58,6,3272.2,3,2,3,323,Others
DL-13315,23,8,1458.258,4,3,2,432,Others
DL-13330,58,4,585.02,3,1,1,311,Others
DL-13495,77,8,3539.322,2,3,3,233,Others
DM-12955,115,7,1322.034,2,3,2,232,Others
DM-13015,58,7,6345.103,3,3,4,334,Others
DM-13345,23,8,4074.4719999999998,4,3,4,434,Others
DM-13525,482,3,1376.792,1,1,2,112,Others
DN-13690,218,7,2139.79,1,3,2,132,Others
DO-13435,134,9,1300.0315,2,4,2,242,Others
DO-13645,27,7,1267.316,4,3,2,432,Others
DP-13000,127,9,1050.636,2,4,1,241,Others
DP-13105,7,8,2215.002,4,3,2,432,Others
DP-13165,813,2,1058.616,1,1,1,111,Others
DP-13390,359,9,5480.723999999999,1,4,4,144,Others
DR-12880,4,9,6528.034000000001,4,4,4,444,Champions
DR-12940,51,8,8350.868,3,3,4,334,Others
DS-13030,94,4,1762.213,2,1,2,212,Others
DS-13180,24,9,2881.8128,4,4,3,443,Others
DV-13045,20,5,1119.483,4,1,1,411,Others
DV-13465,30,6,3341.587,4,2,3,423,Others
DW-13195,70,6,1080.751,3,2,1,321,Others
DW-13480,218,5,5271.628,1,1,4,114,Others
DW-13540,99,5,344.08,2,1,1,211,Others
DW-13585,243,7,1204.854,1,3,2,132,Others
Dl-13600,120,5,755.602,2,1,1,211,Others
Dp-13240,85,11,7198.7609999999995,2,4,4,244,Others
EA-14035,153,13,2846.705,2,4,3,243,Others
EB-13705,49,9,3644.978,3,4,3,343,Others
EB-13750,36,10,3236.314,3,4,3,343,Others
EB-13840,91,5,4358.128,2,1,4,214,Others
EB-13870,101,10,2767.219,2,4,3,243,Others
EB-13930,162,5,944.6000000000001,2,1,1,211,Others
EB-13975,1,4,1643.255,4,1,2,412,Others
EB-14110,114,6,3071.126,2,2,3,223,Others
EB-14170,83,6,1186.326,2,2,2,222,Others
EC-14050,54,5,461.914,3,1,1,311,Others
ED-13885,136,8,3484.92,2,3,3,233,Others
EG-13900,23,5,1832.02,4,1,2,412,Others
EH-13765,136,12,10310.880000000001,2,4,4,244,Others
EH-13945,218,8,684.1709999999999,1,3,1,131,Others
EH-13990,406,6,825.9499999999999,1,2,1,121,Others
EH-14005,3,7,1219.53,4,3,2,432,Others
EH-14125,153,10,3082.653,2,4,3,243,Others
EH-14185,106,6,923.884,2,2,1,221,Others
EJ-13720,303,4,2162.174,1,1,2,112,Others
EJ-14155,58,5,2656.691,3,1,3,313,Others
EK-13795,45,4,1303.478,3,1,2,312,Others
EL-13735,78,2,124.28,2,1,1,211,Others
EM-13810,133,5,2567.0099999999998,2,1,3,213,Others
EM-13825,56,8,2339.598,3,3,3,333,Others
EM-13960,152,5,933.704,2,1,1,211,Others
EM-14065,48,4,228.99,3,1,1,311,Others
EM-14095,114,4,1041.0420000000001,2,1,1,211,Others
EM-14140,49,6,4588.436000000001,3,2,4,324,Others
EM-14200,159,3,366.822,2,1,1,211,Others
EN-13780,288,4,2199.366,1,1,2,112,Others
EP-13915,13,17,5478.0608,4,4,4,444,Champions
ER-13855,422,3,1245.788,1,1,2,112,Others
ES-14020,41,5,3510.4579999999996,3,1,3,313,Others
ES-14080,29,9,4657.924,4,4,4,444,Champions
FA-14230,98,7,2984.054,2,3,3,233,Others
FC-14245,71,7,3418.742,3,3,3,333,Others
FC-14335,185,7,3889.366,1,3,4,134,Others
FG-14260,35,7,1383.144,3,3,2,332,Others
FH-14275,38,10,4256.272,3,4,4,344,Others
FH-14350,213,4,2271.284,1,1,3,113,Others
FH-14365,6,8,6987.196,4,3,4,434,Others
FM-14215,8,10,2456.638,4,4,3,443,Others
FM-14290,37,9,3736.198,3,4,3,343,Others
FM-14380,146,9,2523.266,2,4,3,243,Others
FO-14305,39,10,2678.438,3,4,3,343,Others
FP-14320,24,8,4046.746,4,3,4,434,Others
FW-14395,363,3,79.75,1,1,1,111,Others
GA-14515,150,8,3919.7760000000003,2,3,4,234,Others
GA-14725,6,11,1398.382,4,4,2,442,Others
GB-14530,63,11,1568.44,3,4,2,342,Others
GB-14575,14,5,4716.288,4,1,4,414,Others
GD-14590,6,4,1888.07,4,1,2,412,Others
GG-14650,44,9,2224.0,3,4,2,342,Others
GH-14410,76,9,2819.4669999999996,3,4,3,343,Others
GH-14425,51,4,4172.8460000000005,3,1,4,314,Others
GH-14485,388,2,1361.2440000000001,1,1,2,112,Others
GH-14665,3,2,146.94080000000002,4,1,1,411,Others
GK-14620,113,9,6497.27,2,4,4,244,Others
GM-14440,84,7,3582.8199999999997,2,3,3,233,Others
GM-14455,17,6,3078.624,4,2,3,423,Others
GM-14500,107,10,1255.682,2,4,2,242,Others
GM-14680,153,6,3163.628,2,2,3,223,Others
GM-14695,118,3,6049.966,2,1,4,214,Others
GP-14740,766,2,236.53,1,1,1,111,Others
GR-14560,1136,2,1284.38,1,1,2,112,Others
GT-14635,57,3,9351.212,3,1,4,314,Others
GT-14710,37,11,11820.119999999999,3,4,4,344,Others
GT-14755,35,4,226.436,3,1,1,311,Others
GW-14605,29,7,2189.019,4,3,2,432,Others
GZ-14470,8,9,4355.150000000001,4,4,4,444,Champions
GZ-14545,158,4,2454.6220000000003,2,1,3,213,Others
HA-14905,70,7,2163.3,3,3,2,332,Others
HA-14920,21,8,2584.158,4,3,3,433,Others
HD-14785,770,3,251.36,1,1,1,111,Others
HE-14800,13,4,883.5319999999999,4,1,1,411,Others
HF-14995,22,7,2533.1639999999998,4,3,3,433,Others
HG-14845,55,5,785.628,3,1,1,311,Others
HG-14965,24,12,3247.642,4,4,3,443,Others
HG-15025,7,7,3690.284,4,3,3,433,Others
HH-15010,73,2,218.668,3,1,1,311,Others
HJ-14875,127,5,358.1,2,1,1,211,Others
HK-14890,152,8,4877.784,2,3,4,234,Others
HL-15040,44,6,12873.297999999999,3,2,4,324,Others
HM-14860,3,10,8236.7648,4,4,4,444,Champions
HM-14980,248,4,736.276,1,1,1,111,Others
HP-14815,31,7,1990.314,4,3,2,432,Others
HR-14770,14,5,1299.288,4,1,2,412,Others
HR-14830,160,7,5248.787,2,3,4,234,Others
HW-14935,118,8,9300.254,2,3,4,234,Others
HZ-14950,36,5,886.52,3,1,1,311,Others
IG-15085,72,4,744.574,3,1,1,311,Others
IL-15100,143,7,5040.736,2,3,4,234,Others
IM-15055,410,3,2872.63,1,1,3,113,Others
IM-15070,391,7,4930.474,1,3,4,134,Others
JA-15970,93,8,6491.026,2,3,4,234,Others
JB-15400,8,10,1791.605,4,4,2,442,Others
JB-15925,738,3,900.552,1,1,1,111,Others
JB-16000,44,7,644.1188,3,3,1,331,Others
JB-16045,8,5,2518.115,4,1,3,413,Others
JC-15340,115,4,71.263,2,1,1,211,Others
JC-15385,176,1,1058.108,2,1,1,211,Others
JC-15775,159,9,2772.055,2,4,3,243,Others
JC-16105,58,5,858.576,3,1,1,311,Others
JD-15790,118,5,2152.352,2,1,2,212,Others
JD-15895,395,11,7610.8640000000005,1,4,4,144,Others
JD-16015,113,6,385.43,2,2,1,221,Others
JD-16060,301,3,695.442,1,1,1,111,Others
JD-16150,42,8,8828.0305,3,3,4,334,Others
JE-15475,194,6,1388.682,1,2,2,122,Others
JE-15610,49,7,7754.976,3,3,4,334,Others
JE-15715,47,10,8697.842999999999,3,4,4,344,Others
JE-15745,52,13,6760.8150000000005,3,4,4,344,Others
JE-16165,21,3,2697.248,4,1,3,413,Others
JF-15190,66,7,2279.5860000000002,3,3,3,333,Others
JF-15295,226,5,955.124,1,1,1,111,Others
JF-15355,106,6,1911.844,2,2,2,222,Others
JF-15415,3,6,2371.448,4,2,3,423,Others
JF-15490,122,11,1082.918,2,4,1,241,Others
JF-15565,55,8,4198.332,3,3,4,334,Others
JG-15115,759,3,2358.676,1,1,3,113,Others
JG-15160,2,11,6366.392,4,4,4,444,Champions
JG-15310,3,6,2240.58,4,2,2,422,Others
JG-15805,224,6,1507.018,1,2,2,122,Others
JH-15430,6,4,309.281,4,1,1,411,Others
JH-15820,175,6,528.91,2,2,1,221,Others
JH-15910,42,7,959.477,3,3,1,331,Others
JH-15985,30,6,7954.9980000000005,4,2,4,424,Others
JH-16180,405,4,2256.3940000000002,1,1,2,112,Others
JJ-15445,484,5,709.178,1,1,1,111,Others
JJ-15760,754,2,195.0,1,1,1,111,Others
JK-15205,62,5,4427.142,3,1,4,314,Others
JK-15325,288,3,383.812,1,1,1,111,Others
JK-15370,45,8,2709.632,3,3,3,333,Others
JK-15625,62,7,3760.028,3,3,3,333,Others
JK-15640,181,9,4760.434,2,4,4,244,Others
JK-15730,85,10,4867.2,2,4,4,244,Others
JK-16090,29,3,3747.668,4,1,3,413,Others
JK-16120,118,10,2932.484,2,4,3,243,Others
JL-15130,9,6,1214.956,4,2,2,422,Others
JL-15175,7,5,1571.523,4,1,2,412,Others
JL-15235,120,5,2203.7,2,1,2,212,Others
JL-15505,50,6,3173.874,3,2,3,323,Others
JL-15835,22,11,9799.923,4,4,4,444,Champions
JL-15850,615,6,2725.256,1,2,3,123,Others
JM-15250,38,6,3159.1220000000003,3,2,3,323,Others
JM-15265,38,5,1804.146,3,1,2,312,Others
JM-15535,103,7,1733.443,2,3,2,232,Others
JM-15580,1,5,303.948,4,1,1,411,Others
JM-15655,9,5,864.947,4,1,1,411,Others
JM-15865,110,7,7625.076000000001,2,3,4,234,Others
JM-16195,58,10,2833.9260000000004,3,4,3,343,Others
JO-15145,58,9,3254.949,3,4,3,343,Others
JO-15280,93,6,1934.272,2,2,2,222,Others
JO-15550,216,5,1090.838,1,1,1,111,Others
JP-15460,38,7,1669.135,3,3,2,332,Others
JP-15520,9,7,3635.594,4,3,3,433,Others
JP-16135,103,9,1707.71,2,4,2,242,Others
JR-15670,594,2,1156.658,1,1,2,112,Others
JR-15700,69,1,863.88,3,1,1,311,Others
JR-16210,34,5,2201.686,3,1,2,312,Others
JS-15595,120,4,1417.654,2,1,2,212,Others
JS-15685,43,4,1131.0639999999999,3,1,1,311,Others
JS-15880,535,5,3868.02,1,1,4,114,Others
JS-15940,464,5,469.169,1,1,1,111,Others
JS-16030,29,6,2516.494,4,2,3,423,Others
JW-15220,43,6,7721.714,3,2,4,324,Others
JW-15955,6,7,1244.086,4,3,2,432,Others
JW-16075,462,4,1428.731,1,1,2,112,Others
KA-16525,37,7,1519.506,3,3,2,332,Others
KB-16240,5,7,3152.6150000000002,4,3,3,433,Others
KB-16315,297,9,1569.464,1,4,2,142,Others
KB-16405,118,3,908.821,2,1,1,211,Others
KB-16585,231,12,2744.742,1,4,3,143,Others
KB-16600,2,7,983.922,4,3,1,431,Others
KC-16255,408,6,2120.954,1,2,2,122,Others
KC-16540,98,4,3908.262,2,1,4,214,Others
KC-16675,58,4,1146.05,3,1,1,311,Others
KD-16270,485,5,8282.358,1,1,4,114,Others
KD-16345,42,6,1888.964,3,2,2,322,Others
KD-16495,113,12,8181.256,2,4,4,244,Others
KD-16615,290,5,2243.5099999999998,1,1,2,112,Others
KE-16420,27,8,1686.7312,4,3,2,432,Others
KF-16285,98,7,10604.266,2,3,4,234,Others
KH-16330,41,8,3312.864,3,3,3,333,Others
KH-16360,2,6,3100.612,4,2,3,423,Others
KH-16510,23,7,5952.859,4,3,4,434,Others
KH-16630,59,9,3918.9660000000003,3,4,4,344,Others
KH-16690,3,7,5990.799,4,3,4,434,Others
KL-16555,17,8,5016.488,4,3,4,434,Others
KL-16645,48,12,14175.229000000001,3,4,4,344,Others
KM-16225,15,6,2260.958,4,2,3,423,Others
KM-16375,57,8,5620.186,3,3,4,334,Others
KM-16660,16,5,453.538,4,1,1,411,Others
KM-16720,29,8,4909.472,4,3,4,434,Others
KN-16390,20,9,2617.272,4,4,3,443,Others
KN-16450,53,5,2171.962,3,1,2,312,Others
KN-16705,99,8,2280.58,2,3,3,233,Others
KS-16300,296,3,88.472,1,1,1,111,Others
KT-16465,392,7,3057.1,1,3,3,133,Others
KT-16480,101,10,4642.088400000001,2,4,4,244,Others
KW-16435,97,5,4416.5199999999995,2,1,4,214,Others
KW-16570,772,4,449.096,1,1,1,111,Others
LA-16780,155,11,8673.222,2,4,4,244,Others
LB-16735,49,3,50.188,3,1,1,311,Others
LB-16795,153,8,4985.676,2,3,4,234,Others
LC-16870,28,8,2580.7039999999997,4,3,3,433,Others
LC-16885,17,12,7663.126,4,4,4,444,Champions
LC-16930,42,8,4492.946,3,3,4,334,Others
LC-16960,437,4,3246.626,1,1,3,113,Others
LC-17050,55,5,2095.064,3,1,2,312,Others
LC-17140,14,9,2633.582,4,4,3,443,Others
LD-16855,553,1,5.304,1,1,1,111,Others
LD-17005,415,4,1961.934,1,1,2,112,Others
LE-16810,22,6,1469.45,4,2,2,422,Others
LF-17185,23,7,3930.5089999999996,4,3,4,434,Others
LH-16750,152,3,287.426,2,1,1,211,Others
LH-16900,22,9,2295.332,4,4,3,443,Others
LH-17020,240,4,318.239,1,1,1,111,Others
LH-17155,386,9,1739.689,1,4,2,142,Others
LL-16840,250,6,2741.2039999999997,1,2,3,123,Others
LM-17065,392,5,1346.774,1,1,2,112,Others
LO-17170,3,5,644.35,4,1,1,411,Others
LP-17080,41,4,756.606,3,1,1,311,Others
LP-17095,10,7,3653.399,4,3,3,433,Others
LR-16915,27,6,5142.892,4,2,4,424,Others
LR-17035,133,5,1879.306,2,1,2,212,Others
LS-16945,179,6,2845.27,2,2,3,223,Others
LS-16975,21,9,2988.674,4,4,3,443,Others
LS-17200,97,6,1010.2560000000001,2,2,1,221,Others
LS-17230,778,3,368.88000000000005,1,1,1,111,Others
LS-17245,35,6,1008.1360000000001,3,2,1,321,Others
LT-16765,27,3,329.876,4,1,1,411,Others
LT-17110,35,8,2936.252,3,3,3,333,Others
LW-16825,89,5,2238.061,2,1,2,212,Others
LW-16990,34,6,3230.308,3,2,3,323,Others
LW-17125,206,3,1259.04,1,1,2,112,Others
LW-17215,22,7,5420.514,4,3,4,434,Others
MA-17560,65,11,4299.161,3,4,4,344,Others
MA-17995,187,6,2453.284,1,2,3,123,Others
MB-17305,49,10,1548.702,3,4,2,342,Others
MB-18085,45,7,1428.231,3,3,2,332,Others
MC-17275,77,8,2725.982,2,3,3,233,Others
MC-17425,400,5,4432.138,1,1,4,114,Others
MC-17575,28,8,1303.893,4,3,2,432,Others
MC-17590,52,6,2426.067,3,2,3,323,Others
MC-17605,113,8,2258.192,2,3,3,233,Others
MC-17635,190,4,795.154,1,1,1,111,Others
MC-17845,2,7,3805.714,4,3,4,434,Others
MC-18100,42,10,2218.98,3,4,2,342,Others
MC-18130,370,5,1581.9979999999998,1,1,2,112,Others
MD-17350,118,7,3766.382,2,3,3,233,Others
MD-17860,37,5,1204.91,3,1,2,312,Others
ME-17320,43,10,10663.728000000001,3,4,4,344,Others
ME-17725,29,8,1908.4532,4,3,2,432,Others
ME-18010,93,4,1256.944,2,1,2,212,Others
MF-17665,422,5,937.039,1,1,1,111,Others
MF-18250,8,5,1758.3,4,1,2,412,Others
MG-17650,30,7,3785.276,4,3,3,433,Others
MG-17680,93,4,2350.188,2,1,3,213,Others
MG-17695,556,3,1342.282,1,1,2,112,Others
MG-17875,117,5,1242.8329999999999,2,1,2,212,Others
MG-17890,100,9,776.384,2,4,1,241,Others
MG-18145,85,4,3061.543,2,1,3,213,Others
MG-18205,265,1,16.739,1,1,1,111,Others
MH-17290,120,6,2394.025,2,2,3,223,Others
MH-17440,377,4,400.016,1,1,1,111,Others
MH-17455,86,8,2456.1820000000002,2,3,3,233,Others
MH-17620,156,4,1252.8,2,1,2,212,Others
MH-17785,99,7,2203.7780000000002,2,3,2,232,Others
MH-18025,50,5,2984.948,3,1,3,313,Others
MH-18115,6,9,5503.093,4,4,4,444,Champions
MJ-17740,23,7,6320.746,4,3,4,434,Others
MK-17905,29,8,2302.368,4,3,3,433,Others
MK-18160,241,4,1031.602,1,1,1,111,Others
ML-17395,70,9,2722.843,3,4,3,343,Others
ML-17410,55,6,2921.5,3,2,3,323,Others
ML-17755,30,7,2071.9139999999998,4,3,2,432,Others
ML-18040,80,3,742.082,2,1,1,211,Others
ML-18265,101,2,162.232,2,1,1,211,Others
